side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
SELL,325.69,1117,2024-07-08 00:00:00,324.07,1119,2024-07-10 00:00:00,314.78,221.58,1987.74,2.87,TP,328.71,314.78
SELL,299.08,1120,2024-07-11 00:00:00,295.87,1123,2024-07-16 00:00:00,282.88,164.55,2089.84,4.39,TP,302.36,282.88
BUY,286.41,1125,2024-07-18 00:00:00,289.83,1135,2024-08-01 00:00:00,287.21,142.82,-415.39,-0.9,TIMEOUT,282.06,305.38
SELL,287.67,1136,2024-08-02 00:00:00,286.04,1137,2024-08-05 00:00:00,275.63,211.81,2145.43,3.64,TP,291.24,275.63
BUY,277.54,1138,2024-08-06 00:00:00,279.4,1147,2024-08-19 00:00:00,274.14,217.55,-1204.51,-1.88,SL,274.14,289.93
SELL,268.67,1148,2024-08-20 00:00:00,266.2,1154,2024-08-28 00:00:00,255.38,207.06,2186.43,4.06,TP,271.61,255.38
SELL,262.33,1155,2024-08-29 00:00:00,260.31,1157,2024-09-02 00:00:00,248.31,193.99,2278.55,4.61,TP,266.31,248.31
BUY,249.66,1159,2024-09-04 00:00:00,253.01,1169,2024-09-18 00:00:00,263.4,156.47,1585.32,4.11,TIMEOUT,245.28,268.46
BUY,266.13,1171,2024-09-20 00:00:00,269.08,1179,2024-10-02 00:00:00,262.27,182.26,-1289.64,-2.53,SL,262.27,282.7
BUY,262.33,1180,2024-10-03 00:00:00,264.25,1185,2024-10-10 00:00:00,258.99,231.07,-1275.88,-1.99,SL,258.99,274.78
SELL,258.53,1186,2024-10-11 00:00:00,256.94,1187,2024-10-14 00:00:00,261.48,262.09,-1257.85,-1.77,SL,261.48,247.85
SELL,261.06,1189,2024-10-16 00:00:00,259.5,1196,2024-10-25 00:00:00,249.61,235.3,2267.25,3.81,TP,264.45,249.61
SELL,244.59,1197,2024-10-28 00:00:00,242.56,1204,2024-11-06 00:00:00,247.65,237.74,-1268.37,-2.1,SL,247.65,232.37
BUY,248.39,1205,2024-11-07 00:00:00,250.93,1213,2024-11-19 00:00:00,245.45,216.19,-1238.39,-2.18,SL,245.45,261.9
SELL,239.52,1214,2024-11-20 00:00:00,237.05,1218,2024-11-26 00:00:00,224.45,184.12,2277.44,5.32,TP,243.35,224.45
BUY,223.04,1219,2024-11-27 00:00:00,226.3,1229,2024-12-11 00:00:00,234.19,166.97,1278.94,3.49,TIMEOUT,219.08,240.74
SELL,231.91,1230,2024-12-12 00:00:00,229.02,1236,2024-12-20 00:00:00,236.54,163.71,-1269.2,-3.28,SL,236.54,213.99
BUY,261.06,1237,2024-12-23 00:00:00,264.9,1247,2025-01-09 00:00:00,271.8,139.55,925.44,2.6,TIMEOUT,256.26,282.18
BUY,275.0,1248,2025-01-10 00:00:00,278.77,1258,2025-01-24 00:00:00,280.74,138.02,233.28,0.71,TIMEOUT,269.9,296.52
SELL,277.54,1259,2025-01-27 00:00:00,275.23,1261,2025-01-29 00:00:00,280.81,220.23,-1290.11,-2.03,SL,280.81,264.08
BUY,280.07,1262,2025-01-30 00:00:00,281.97,1265,2025-02-04 00:00:00,277.08,246.03,-1271.85,-1.73,SL,277.08,291.75
BUY,281.34,1266,2025-02-05 00:00:00,282.88,1269,2025-02-10 00:00:00,292.68,240.33,2286.12,3.46,TP,277.98,292.68
BUY,291.48,1270,2025-02-11 00:00:00,294.06,1271,2025-02-12 00:00:00,304.11,243.21,2371.55,3.42,TP,289.03,304.11
SELL,313.02,1272,2025-02-13 00:00:00,310.1,1273,2025-02-14 00:00:00,317.1,181.54,-1327.73,-2.26,SL,317.1,296.09
BUY,316.82,1274,2025-02-17 00:00:00,319.5,1275,2025-02-18 00:00:00,311.55,156.51,-1293.62,-2.49,SL,311.55,335.4
